Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Total,Prize
Adam,4,930.00,Kyle Klein,85132,1043,-20,59,1053,58,1059,58,1059,175,"$3,000"
Adam,5,920.00,Sullivan Tipton,78817,1039,-18,64,1022,57,1065,56,1071,177,"$2,200"
Greg,7,900.00,Adam Hammes,57365,1034,-17,55,1077,63,1028,60,1046,178,"$1,800"
Greg,9,880.00,Ezra Robinson,50671,1041,-13,68,997,58,1059,56,1071,182,"$1,258"
Greg,9,880.00,Aaron Gossage,35449,1039,-13,61,1040,64,1022,57,1065,182,"$1,258"
Adam,15,820.00,Niklas Anttila,91249,1045,-12,59,1053,64,1022,60,1046,183,$923
Greg,19,780.00,Simon Lizotte,8332,1036,-11,58,1059,63,1028,63,1028,184,$810
Adam,28,690.00,Paul Krans,132521,1033,-8,58,1059,65,1015,64,1022,187,$550
Greg,39,580.00,Gavin Babcock,80331,1033,-5,64,1022,67,1003,59,1053,190,$131
Greg,50,470.00,Ezra Aderhold,121715,1032,-1,70,985,61,1040,63,1028,194,
Adam,50,470.00,Austin Turner,54049,1031,-1,67,1003,64,1022,63,1028,194,
Adam,59,380.00,Harry Chace,131546,1024,+2,69,991,64,1022,64,1022,197,
Greg,64,330.00,Calvin Lonnquist,145206,1015,+4,64,1022,69,991,66,1009,199,
Adam,84,130.00,Cole Redalen,79748,1038,+14,69,991,68,997,72,972,209,
