Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Total,Prize
Adam,8,1050.00,Kyle Klein,85132,1045,-15,58,1042,59,1043,54,1070,171,"$1,505"
Adam,8,1050.00,Austin Turner,54049,1030,-15,55,1063,57,1056,59,1035,171,"$1,505"
Adam,12,1010.00,Niklas Anttila,91249,1045,-13,59,1035,57,1056,57,1049,173,"$1,070"
Adam,12,1010.00,Harry Chace,131546,1023,-13,59,1035,57,1056,57,1049,173,"$1,070"
Adam,12,1010.00,Sullivan Tipton,78817,1040,-13,58,1042,58,1050,57,1049,173,"$1,070"
Greg,21,920.00,Aaron Gossage,35449,1041,-10,58,1042,58,1050,60,1029,176,$720
Greg,22,910.00,Gavin Babcock,80331,1034,-8,56,1056,63,1016,59,1035,178,$650
Greg,22,910.00,Adam Hammes,57365,1036,-8,58,1042,60,1036,60,1029,178,$650
Greg,40,730.00,Ezra Aderhold,121715,1030,-3,57,1049,65,1003,61,1022,183,$405
Adam,57,560.00,Paul Krans,132521,1034,+3,61,1022,70,970,58,1042,189,
Greg,57,560.00,Simon Lizotte,8332,1038,+3,63,1008,62,1023,64,1001,189,
Adam,62,510.00,Cole Redalen,79748,1037,+4,61,1022,66,996,63,1008,190,
Greg,73,400.00,Calvin Lonnquist,145206,1013,+7,64,1001,66,996,63,1008,193,
Greg,101,120.00,Ezra Robinson,50671,1041,+17,70,959,64,1010,69,966,203,
