Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Finals,,Total,Prize
Greg,2,1070.00,Ezra Robinson,50671,1037,-36,53,1076,58,1041,54,1062,57,1040,222,"$7,000"
Adam,3,1060.00,Kyle Klein,85132,1041,-35,56,1055,55,1062,53,1069,59,1025,223,"$4,100"
Adam,5,1040.00,Sullivan Tipton,78817,1040,-34,58,1041,55,1062,57,1040,54,1062,224,"$2,500"
Greg,10,990.00,Adam Hammes,57365,1033,-31,58,1041,61,1020,54,1062,54,1062,227,"$1,550"
Adam,12,970.00,Niklas Anttila,91249,1046,-29,57,1048,58,1041,58,1032,56,1047,229,"$1,360"
Adam,12,970.00,Paul Krans,132521,1032,-29,59,1034,57,1048,53,1069,60,1018,229,"$1,360"
Greg,19,900.00,Simon Lizotte,8332,1034,-26,59,1034,51,1090,62,1003,60,1018,232,"$1,003"
Greg,22,870.00,Gavin Babcock,80331,1030,-25,60,1027,59,1034,57,1040,57,1040,233,$885
Adam,22,870.00,Austin Turner,54049,1028,-25,57,1048,56,1055,60,1018,60,1018,233,$885
Adam,30,790.00,Harry Chace,131546,1024,-20,61,1020,62,1013,54,1062,61,1010,238,$604
Greg,41,680.00,Ezra Aderhold,121715,1027,-18,62,1013,56,1055,57,1040,65,981,240,$419
Greg,50,590.00,Calvin Lonnquist,145206,1015,-12,59,1034,64,999,58,1032,65,981,246,$100
Adam,64,450.00,Cole Redalen,79748,1036,-9,60,1027,62,1013,64,989,,,186,
Greg,71,380.00,Aaron Gossage,35449,1042,-7,63,1006,68,971,57,1040,,,188,
