Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Total,Prize
Adam,2,1150.00,Austin Turner,54049,1030,-24,54,1076,57,1056,57,1056,168,"$5,751"
Adam,4,1130.00,Sullivan Tipton,78817,1039,-22,59,1043,59,1043,52,1089,170,"$3,100"
Adam,5,1120.00,Paul Krans,132521,1034,-21,61,1029,56,1063,54,1076,171,"$2,600"
Adam,6,1110.00,Niklas Anttila,91249,1044,-20,59,1043,54,1076,59,1043,172,"$1,822"
Greg,12,1050.00,Adam Hammes,57365,1037,-18,62,1023,54,1076,58,1049,174,"$1,375"
Greg,18,990.00,Gavin Babcock,80331,1038,-15,61,1029,56,1063,60,1036,177,"$1,048"
Greg,18,990.00,Aaron Gossage,35449,1037,-15,57,1056,58,1049,62,1023,177,"$1,048"
Greg,26,910.00,Ezra Robinson,50671,1038,-12,66,996,57,1056,57,1056,180,$780
Greg,26,910.00,Ezra Aderhold,121715,1023,-12,65,1003,57,1056,58,1049,180,$780
Adam,36,810.00,Cole Redalen,79748,1036,-9,62,1023,63,1016,58,1049,183,$540
Adam,51,660.00,Harry Chace,131546,1026,-5,58,1049,67,989,62,1023,187,
Greg,74,430.00,Calvin Lonnquist,145206,1017,+3,68,983,62,1023,65,1003,195,
Adam,112,0.00,Kyle Klein,85132,1038,,999,,,,,,DNF,
