Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Finals,,Total,Prize
Adam,1,1500.00,Niklas Anttila,91249,1045,-27,60,1067,65,1043,63,1053,61,1062,249,"$15,000"
Greg,8,1395.00,Adam Hammes,57365,1036,-11,64,1048,65,1043,69,1025,67,1034,265,"$2,250"
Adam,12,1335.00,Sullivan Tipton,78817,1040,-8,67,1034,67,1034,71,1015,63,1053,268,"$1,650"
Greg,14,1305.00,Aaron Gossage,35449,1041,-6,73,1006,68,1029,66,1039,63,1053,270,"$1,313"
Greg,26,1125.00,Simon Lizotte,8332,1038,-3,68,1029,68,1029,72,1011,65,1043,273,$840
Adam,28,1095.00,Cole Redalen,79748,1037,-1,67,1034,67,1034,74,1001,67,1034,275,$770
Greg,28,1095.00,Ezra Robinson,50671,1041,-1,71,1015,64,1048,71,1015,69,1025,275,$770
Greg,32,1035.00,Calvin Lonnquist,145206,1013,E,69,1025,69,1025,67,1034,71,1015,276,$690
Adam,38,945.00,Paul Krans,132521,1034,+8,70,1020,66,1039,71,1015,77,987,284,$625
Greg,43,870.00,Gavin Babcock,80331,1034,+4,75,997,66,1039,70,1020,,,211,
Adam,51,750.00,Austin Turner,54049,1030,+7,66,1039,71,1015,77,987,,,214,
Adam,56,675.00,Harry Chace,131546,1023,+8,71,1015,70,1020,74,1001,,,215,
Greg,56,675.00,Ezra Aderhold,121715,1030,+8,65,1043,73,1006,77,987,,,215,
Adam,82,285.00,Kyle Klein,85132,1045,+17,74,1001,69,1025,81,969,,,224,
