Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Finals,,Total,Prize
Greg,9,1030.00,Gavin Babcock,80331,1031,-19,60,1016,61,1008,61,1051,55,1073,237,"$1,700"
Greg,15,970.00,Adam Hammes,57365,1036,-17,60,1016,59,1023,60,1057,60,1041,239,"$1,130"
Adam,15,970.00,Austin Turner,54049,1027,-17,60,1016,54,1060,63,1040,62,1028,239,"$1,130"
Adam,21,910.00,Cole Redalen,79748,1036,-15,59,1023,54,1060,70,1001,58,1054,241,$930
Greg,22,900.00,Ezra Robinson,50671,1036,-14,57,1038,60,1016,67,1018,58,1054,242,$900
Adam,25,870.00,Sullivan Tipton,78817,1041,-12,58,1030,60,1016,65,1029,61,1034,244,$777
Adam,25,870.00,Paul Krans,132521,1032,-12,54,1060,58,1030,69,1007,63,1021,244,$777
Adam,30,820.00,Kyle Klein,85132,1040,-10,55,1053,58,1030,68,1012,65,1009,246,$666
Greg,40,720.00,Calvin Lonnquist,145206,1014,-7,58,1030,63,993,63,1040,65,1009,249,$490
Adam,45,670.00,Harry Chace,131546,1025,-6,67,964,55,1053,61,1051,67,996,250,$112
Greg,57,550.00,Ezra Aderhold,121715,1028,-3,56,1045,67,964,65,1029,65,1009,253,
Greg,66,460.00,Aaron Gossage,35449,1039,E,62,1001,62,1001,63,1040,69,983,256,
